name,year,rate,code
ADAIR,2010,139.1,19001
ADAMS,2010,139.3,19003
ALLAMAKEE,2010,175.8,19005
APPANOOSE,2010,75.2,19007
AUDUBON,2010,160.3,19009
BENTON,2010,179,19011
BLACK HAWK,2010,170.4,19013
BOONE,2010,162.5,19015
BREMER,2010,174.6,19017
BUCHANAN,2010,167.5,19019
BUENA VISTA,2010,178.3,19021
BUTLER,2010,180.5,19023
CALHOUN,2010,173.3,19025
CARROLL,2010,182,19027
CASS,2010,155.1,19029
CEDAR,2010,174.4,19031
CERRO GORDO,2010,173,19033
CHEROKEE,2010,186.9,19035
CHICKASAW,2010,182,19037
CLARKE,2010,84.5,19039
CLAY,2010,177.6,19041
CLAYTON,2010,176.9,19043
CLINTON,2010,171.2,19045
CRAWFORD,2010,185.8,19047
DALLAS,2010,141.9,19049
DAVIS,2010,84,19051
DECATUR,2010,94.3,19053
DELAWARE,2010,175.8,19055
DES MOINES,2010,112.1,19057
DICKINSON,2010,181,19059
DUBUQUE,2010,170.4,19061
EMMET,2010,183.1,19063
FAYETTE,2010,166.5,19065
FLOYD,2010,177.8,19067
FRANKLIN,2010,168,19069
FREMONT,2010,152.7,19071
GREENE,2010,167.3,19073
GRUNDY,2010,192.9,19075
GUTHRIE,2010,141.3,19077
HAMILTON,2010,169.6,19079
HANCOCK,2010,176.9,19081
HARDIN,2010,185.8,19083
HARRISON,2010,159.4,19085
HENRY,2010,109,19087
HOWARD,2010,191.4,19089
HUMBOLDT,2010,153.2,19091
IDA,2010,191.8,19093
IOWA,2010,158.5,19095
JACKSON,2010,157.2,19097
JASPER,2010,152.7,19099
JEFFERSON,2010,98.5,19101
JOHNSON,2010,150.9,19103
JONES,2010,168.9,19105
KEOKUK,2010,111.2,19107
KOSSUTH,2010,184,19109
LEE,2010,103.2,19111
LINN,2010,170.3,19113
LOUISA,2010,125.1,19115
LUCAS,2010,71.2,19117
LYON,2010,195.2,19119
MADISON,2010,124.6,19121
MAHASKA,2010,116.6,19123
MARION,2010,112.7,19125
MARSHALL,2010,183.3,19127
MILLS,2010,160.2,19129
MITCHELL,2010,190.5,19131
MONONA,2010,168.7,19133
MONROE,2010,77.4,19135
MONTGOMERY,2010,157,19137
MUSCATINE,2010,144.8,19139
O BRIEN,2010,190.7,19141
OSCEOLA,2010,192.7,19143
PAGE,2010,150.1,19145
PALO ALTO,2010,174,19147
PLYMOUTH,2010,184.7,19149
POCAHONTAS,2010,172.6,19151
POLK,2010,139.4,19153
POTTAWATTAMIE,2010,164.8,19155
POWESHIEK,2010,153.2,19157
RINGGOLD,2010,94.1,19159
SAC,2010,189.7,19161
SCOTT,2010,151.9,19163
SHELBY,2010,171.6,19165
SIOUX,2010,196.5,19167
STORY,2010,163.9,19169
TAMA,2010,176.7,19171
TAYLOR,2010,122.2,19173
UNION,2010,113.2,19175
VAN BUREN,2010,90.8,19177
WAPELLO,2010,100.2,19179
WARREN,2010,102.4,19181
WASHINGTON,2010,132.5,19183
WAYNE,2010,73.1,19185
WEBSTER,2010,168.4,19187
WINNEBAGO,2010,184.1,19189
WINNESHIEK,2010,190.5,19191
WOODBURY,2010,164.3,19193
WORTH,2010,193.2,19195
WRIGHT,2010,150,19197
ADAIR,2011,152.8,19001
ADAMS,2011,151.7,19003
ALLAMAKEE,2011,173.3,19005
APPANOOSE,2011,120.1,19007
AUDUBON,2011,176.6,19009
BENTON,2011,157.2,19011
BLACK HAWK,2011,186.1,19013
BOONE,2011,182.5,19015
BREMER,2011,196.5,19017
BUCHANAN,2011,187,19019
BUENA VISTA,2011,180.2,19021
BUTLER,2011,186.7,19023
CALHOUN,2011,181.9,19025
CARROLL,2011,180.2,19027
CASS,2011,175.2,19029
CEDAR,2011,184.9,19031
CERRO GORDO,2011,169.3,19033
CHEROKEE,2011,176.7,19035
CHICKASAW,2011,188.8,19037
CLARKE,2011,107.7,19039
CLAY,2011,185.4,19041
CLAYTON,2011,186.8,19043
CLINTON,2011,180,19045
CRAWFORD,2011,181.8,19047
DALLAS,2011,172.1,19049
DAVIS,2011,97.8,19051
DECATUR,2011,126.1,19053
DELAWARE,2011,186.5,19055
DES MOINES,2011,146.6,19057
DICKINSON,2011,169.3,19059
DUBUQUE,2011,185.1,19061
EMMET,2011,169.6,19063
FAYETTE,2011,186.6,19065
FLOYD,2011,181.1,19067
FRANKLIN,2011,189.7,19069
FREMONT,2011,155.6,19071
GREENE,2011,183.4,19073
GRUNDY,2011,172.8,19075
GUTHRIE,2011,169.4,19077
HAMILTON,2011,180.6,19079
HANCOCK,2011,179.8,19081
HARDIN,2011,186.7,19083
HARRISON,2011,169.9,19085
HENRY,2011,123.2,19087
HOWARD,2011,185.8,19089
HUMBOLDT,2011,185.5,19091
IDA,2011,182.9,19093
IOWA,2011,171.6,19095
JACKSON,2011,178.3,19097
JASPER,2011,171.1,19099
JEFFERSON,2011,112.4,19101
JOHNSON,2011,171.9,19103
JONES,2011,171.4,19105
KEOKUK,2011,152.4,19107
KOSSUTH,2011,179.9,19109
LEE,2011,105.2,19111
LINN,2011,169.1,19113
LOUISA,2011,148.9,19115
LUCAS,2011,114.9,19117
LYON,2011,185.4,19119
MADISON,2011,145.1,19121
MAHASKA,2011,165,19123
MARION,2011,152.6,19125
MARSHALL,2011,166.3,19127
MILLS,2011,155,19129
MITCHELL,2011,180.1,19131
MONONA,2011,158.3,19133
MONROE,2011,112.5,19135
MONTGOMERY,2011,153.2,19137
MUSCATINE,2011,164.6,19139
O BRIEN,2011,185.1,19141
OSCEOLA,2011,184.4,19143
PAGE,2011,136.2,19145
PALO ALTO,2011,174.6,19147
PLYMOUTH,2011,164.5,19149
POCAHONTAS,2011,181.2,19151
POLK,2011,160.6,19153
POTTAWATTAMIE,2011,170.9,19155
POWESHIEK,2011,179,19157
RINGGOLD,2011,118.7,19159
SAC,2011,183.4,19161
SCOTT,2011,174.2,19163
SHELBY,2011,173.6,19165
SIOUX,2011,177.6,19167
STORY,2011,163.2,19169
TAMA,2011,162,19171
TAYLOR,2011,140.5,19173
UNION,2011,132.6,19175
VAN BUREN,2011,100.9,19177
WAPELLO,2011,127.3,19179
WARREN,2011,129.1,19181
WASHINGTON,2011,156.3,19183
WAYNE,2011,126,19185
WEBSTER,2011,190.6,19187
WINNEBAGO,2011,176.6,19189
WINNESHIEK,2011,186.2,19191
WOODBURY,2011,173.3,19193
WORTH,2011,173,19195
WRIGHT,2011,189.9,19197
ADAIR,2012,104.4,19001
ADAMS,2012,109.8,19003
ALLAMAKEE,2012,153.6,19005
APPANOOSE,2012,44.5,19007
AUDUBON,2012,114.8,19009
BENTON,2012,129.3,19011
BLACK HAWK,2012,126.4,19013
BOONE,2012,147.1,19015
BREMER,2012,133.3,19017
BUCHANAN,2012,140.4,19019
BUENA VISTA,2012,148.2,19021
BUTLER,2012,122,19023
CALHOUN,2012,134.8,19025
CARROLL,2012,105.3,19027
CASS,2012,120.4,19029
CEDAR,2012,158.9,19031
CERRO GORDO,2012,124.8,19033
CHEROKEE,2012,158.7,19035
CHICKASAW,2012,125.8,19037
CLARKE,2012,76.7,19039
CLAY,2012,170.1,19041
CLAYTON,2012,152.9,19043
CLINTON,2012,139.6,19045
CRAWFORD,2012,131.3,19047
DALLAS,2012,129,19049
DAVIS,2012,52.4,19051
DECATUR,2012,61.2,19053
DELAWARE,2012,129.8,19055
DES MOINES,2012,143.7,19057
DICKINSON,2012,160.9,19059
DUBUQUE,2012,149.4,19061
EMMET,2012,166.6,19063
FAYETTE,2012,151,19065
FLOYD,2012,123.2,19067
FRANKLIN,2012,150,19069
FREMONT,2012,131.2,19071
GREENE,2012,124.6,19073
GRUNDY,2012,161.5,19075
GUTHRIE,2012,113.4,19077
HAMILTON,2012,138,19079
HANCOCK,2012,143.3,19081
HARDIN,2012,163.6,19083
HARRISON,2012,130.9,19085
HENRY,2012,132,19087
HOWARD,2012,137.8,19089
HUMBOLDT,2012,146.1,19091
IDA,2012,151.4,19093
IOWA,2012,135.7,19095
JACKSON,2012,114.6,19097
JASPER,2012,150.9,19099
JEFFERSON,2012,102.8,19101
JOHNSON,2012,132.4,19103
JONES,2012,127.3,19105
KEOKUK,2012,113,19107
KOSSUTH,2012,164.6,19109
LEE,2012,116,19111
LINN,2012,124.2,19113
LOUISA,2012,162.9,19115
LUCAS,2012,85.3,19117
LYON,2012,161.6,19119
MADISON,2012,101.4,19121
MAHASKA,2012,133,19123
MARION,2012,115.1,19125
MARSHALL,2012,157.6,19127
MILLS,2012,128.8,19129
MITCHELL,2012,131.4,19131
MONONA,2012,115.1,19133
MONROE,2012,67.3,19135
MONTGOMERY,2012,132,19137
MUSCATINE,2012,152.6,19139
O BRIEN,2012,159.8,19141
OSCEOLA,2012,169.6,19143
PAGE,2012,116.2,19145
PALO ALTO,2012,170.6,19147
PLYMOUTH,2012,110.1,19149
POCAHONTAS,2012,165.3,19151
POLK,2012,149.1,19153
POTTAWATTAMIE,2012,131.9,19155
POWESHIEK,2012,152.3,19157
RINGGOLD,2012,71.6,19159
SAC,2012,130.7,19161
SCOTT,2012,131.7,19163
SHELBY,2012,137.8,19165
SIOUX,2012,143.2,19167
STORY,2012,157.6,19169
TAMA,2012,160.2,19171
TAYLOR,2012,91.7,19173
UNION,2012,87.3,19175
VAN BUREN,2012,110.3,19177
WAPELLO,2012,92.6,19179
WARREN,2012,103.5,19181
WASHINGTON,2012,132.1,19183
WAYNE,2012,55.7,19185
WEBSTER,2012,149.2,19187
WINNEBAGO,2012,161.1,19189
