name,year,rate,code
ADAIR,2020,47.2,19001
ADAIR,2019,53.3,19001
ADAIR,2018,50.1,19001
ADAIR,2017,50.5,19001
ADAIR,2016,59.3,19001
ADAIR,2015,55.1,19001
ADAIR,2014,50,19001
ADAIR,2013,36.8,19001
ADAIR,2012,38.6,19001
ADAIR,2011,50.3,19001
ADAIR,2010,48.7,19001
ADAIR,2009,51.5,19001
ADAIR,2008,45.5,19001
ADAIR,2007,53.3,19001
ADAIR,2006,51,19001
ADAIR,2005,48.8,19001
ADAIR,2004,51.7,19001
ADAIR,2003,28.1,19001
ADAIR,2002,47.2,19001
ADAIR,2001,39.2,19001
ADAIR,2000,40,19001
ADAMS,2018,53.2,19003
ADAMS,2017,52.6,19003
ADAMS,2016,56.5,19003
ADAMS,2015,50.3,19003
ADAMS,2014,47.6,19003
ADAMS,2013,44.1,19003
ADAMS,2012,40.9,19003
ADAMS,2011,46.9,19003
ADAMS,2010,47.7,19003
ADAMS,2009,51,19003
ADAMS,2008,39,19003
ADAMS,2007,51.5,19003
ADAMS,2006,45.2,19003
ADAMS,2005,50.2,19003
ADAMS,2004,50.7,19003
ADAMS,2003,27.5,19003
ADAMS,2002,43.5,19003
ADAMS,2001,40.7,19003
ADAMS,2000,41.7,19003
ALLAMAKEE,2020,57.7,19005
ALLAMAKEE,2018,52.8,19005
ALLAMAKEE,2017,52.6,19005
ALLAMAKEE,2016,56.8,19005
ALLAMAKEE,2015,54.1,19005
ALLAMAKEE,2014,50.6,19005
ALLAMAKEE,2013,50.7,19005
ALLAMAKEE,2012,52.2,19005
ALLAMAKEE,2011,52.1,19005
ALLAMAKEE,2010,52.2,19005
ALLAMAKEE,2009,45.5,19005
ALLAMAKEE,2008,42,19005
ALLAMAKEE,2007,48.4,19005
ALLAMAKEE,2006,48.9,19005
ALLAMAKEE,2005,56.8,19005
ALLAMAKEE,2004,42.6,19005
ALLAMAKEE,2003,31.7,19005
ALLAMAKEE,2002,51,19005
ALLAMAKEE,2001,41,19005
ALLAMAKEE,2000,47.3,19005
APPANOOSE,2020,38.4,19007
APPANOOSE,2018,45.1,19007
APPANOOSE,2017,50.7,19007
APPANOOSE,2016,55.9,19007
APPANOOSE,2015,48.2,19007
APPANOOSE,2014,46.7,19007
APPANOOSE,2013,29.5,19007
APPANOOSE,2012,24.6,19007
APPANOOSE,2011,43.1,19007
APPANOOSE,2010,42.6,19007
APPANOOSE,2009,43,19007
APPANOOSE,2008,31,19007
APPANOOSE,2007,45.6,19007
APPANOOSE,2006,42.3,19007
APPANOOSE,2005,44.2,19007
APPANOOSE,2004,52.4,19007
APPANOOSE,2003,31.2,19007
APPANOOSE,2002,40.2,19007
APPANOOSE,2001,41.2,19007
APPANOOSE,2000,41.5,19007
AUDUBON,2020,47.4,19009
AUDUBON,2019,58.9,19009
AUDUBON,2018,52.3,19009
AUDUBON,2017,57.2,19009
