year,name,rate,code
2008,Adair County,46.6,19001
2014,Adair County,46.8,19001
2009,Adair County,47.4,19001
2019,Adair County,47.6,19001
2013,Adair County,47.6,19001
2018,Adair County,48.2,19001
2010,Adair County,48.6,19001
2003,Adair County,48.8,19001
2011,Adair County,49,19001
2004,Adair County,49.1,19001
2007,Adair County,49.5,19001
2001,Adair County,49.8,19001
2000,Adair County,49.8,19001
2020,Adair County,49.9,19001
2002,Adair County,49.9,19001
2005,Adair County,50.2,19001
2015,Adair County,50.3,19001
2017,Adair County,51.1,19001
2006,Adair County,51.2,19001
2016,Adair County,51.6,19001
2012,Adair County,53,19001
2008,Adams County,47.6,19003
2014,Adams County,47.7,19003
2009,Adams County,48,19003
2019,Adams County,48.4,19003
2013,Adams County,48.5,19003
2018,Adams County,49.1,19003
2010,Adams County,49.2,19003
2003,Adams County,49.6,19003
2011,Adams County,49.7,19003
2004,Adams County,49.9,19003
2000,Adams County,50.3,19003
2007,Adams County,50.4,19003
2001,Adams County,50.4,19003
2002,Adams County,50.5,19003
2020,Adams County,50.6,19003
2015,Adams County,50.9,19003
2005,Adams County,51.1,19003
2017,Adams County,51.7,19003
2006,Adams County,52,19003
2016,Adams County,52.5,19003
2012,Adams County,53.7,19003
2014,Allamakee County,43,19005
2008,Allamakee County,43.9,19005
2013,Allamakee County,44.5,19005
2009,Allamakee County,44.8,19005
2019,Allamakee County,45,19005
2003,Allamakee County,45.8,19005
2018,Allamakee County,45.9,19005
2000,Allamakee County,46.5,19005
2011,Allamakee County,46.6,19005
2004,Allamakee County,46.6,19005
2007,Allamakee County,46.8,19005
2020,Allamakee County,47.1,19005
2010,Allamakee County,47.2,19005
2015,Allamakee County,47.4,19005
2001,Allamakee County,47.4,19005
2005,Allamakee County,47.5,19005
2002,Allamakee County,47.6,19005
2017,Allamakee County,47.8,19005
2006,Allamakee County,48.5,19005
2016,Allamakee County,48.6,19005
2012,Allamakee County,50.1,19005
2014,Appanoose County,47.8,19007
2008,Appanoose County,48.5,19007
2009,Appanoose County,49.4,19007
2013,Appanoose County,49.5,19007
2019,Appanoose County,49.6,19007
2018,Appanoose County,50.4,19007
2003,Appanoose County,50.4,19007
2010,Appanoose County,50.6,19007
2004,Appanoose County,50.7,19007
2011,Appanoose County,51.1,19007
2000,Appanoose County,51.2,19007
2020,Appanoose County,51.3,19007
2001,Appanoose County,51.4,19007
2015,Appanoose County,51.5,19007
2002,Appanoose County,51.5,19007
2007,Appanoose County,51.7,19007
2005,Appanoose County,52,19007
2017,Appanoose County,52.6,19007
2006,Appanoose County,52.9,19007
2016,Appanoose County,53,19007
2012,Appanoose County,54.7,19007
2014,Audubon County,45.8,19009
2008,Audubon County,46,19009
2009,Audubon County,46.5,19009
2013,Audubon County,46.6,19009
2019,Audubon County,46.9,19009
2018,Audubon County,47.4,19009
2010,Audubon County,47.6,19009
2011,Audubon County,47.9,19009
2003,Audubon County,47.9,19009
2004,Audubon County,48.5,19009
2007,Audubon County,48.9,19009
2002,Audubon County,49,19009
2001,Audubon County,49,19009
2000,Audubon County,49,19009
2015,Audubon County,49.3,19009
2020,Audubon County,49.4,19009
2005,Audubon County,49.5,19009
2017,Audubon County,50.2,19009
2006,Audubon County,50.4,19009
2016,Audubon County,50.7,19009
2012,Audubon County,51.7,19009
2014,Benton County,44.3,19011
2008,Benton County,45.5,19011
2019,Benton County,45.7,19011
2009,Benton County,46.4,19011
2018,Benton County,46.8,19011
2013,Benton County,46.8,19011
2003,Benton County,47.3,19011
2020,Benton County,48,19011
2004,Benton County,48.2,19011
2000,Benton County,48.2,19011
2010,Benton County,48.3,19011
2015,Benton County,48.5,19011
2011,Benton County,48.7,19011
2007,Benton County,48.7,19011
2001,Benton County,48.7,19011
2017,Benton County,48.9,19011
2005,Benton County,49.1,19011
2002,Benton County,49.1,19011
2006,Benton County,49.8,19011
2016,Benton County,49.9,19011
2012,Benton County,51.8,19011
2014,Black Hawk County,43.9,19013
2008,Black Hawk County,44.9,19013
2013,Black Hawk County,45.6,19013
2019,Black Hawk County,45.8,19013
2009,Black Hawk County,45.8,19013
2018,Black Hawk County,46.3,19013
2003,Black Hawk County,47.2,19013
2010,Black Hawk County,47.4,19013
2011,Black Hawk County,47.8,19013
2007,Black Hawk County,47.8,19013
2004,Black Hawk County,47.8,19013
2000,Black Hawk County,47.8,19013
2001,Black Hawk County,48.2,19013
2015,Black Hawk County,48.3,19013
2005,Black Hawk County,48.3,19013
2020,Black Hawk County,48.5,19013
2017,Black Hawk County,48.7,19013
2002,Black Hawk County,48.7,19013
2006,Black Hawk County,49.2,19013
2016,Black Hawk County,49.5,19013
2012,Black Hawk County,51.3,19013
2014,Boone County,45.8,19015
2008,Boone County,46,19015
2013,Boone County,46.9,19015
2009,Boone County,46.9,19015
2019,Boone County,47.2,19015
2018,Boone County,48.1,19015
2010,Boone County,48.2,19015
2003,Boone County,48.2,19015
2011,Boone County,48.6,19015
2004,Boone County,48.7,19015
2007,Boone County,49,19015
2000,Boone County,49.1,19015
2015,Boone County,49.4,19015
2002,Boone County,49.5,19015
2001,Boone County,49.5,19015
2020,Boone County,49.7,19015
2005,Boone County,49.7,19015
2017,Boone County,50.6,19015
2006,Boone County,50.7,19015
2016,Boone County,51.2,19015
2012,Boone County,52.4,19015
2014,Bremer County,43,19017
2008,Bremer County,43.9,19017
2013,Bremer County,44.8,19017
2009,Bremer County,45.1,19017
2019,Bremer County,45.3,19017
2018,Bremer County,45.9,19017
2003,Bremer County,46.3,19017
2010,Bremer County,46.7,19017
2011,Bremer County,46.8,19017
2007,Bremer County,46.9,19017
2000,Bremer County,47,19017
2004,Bremer County,47.1,19017
2001,Bremer County,47.5,19017
2005,Bremer County,47.6,19017
2020,Bremer County,47.7,19017
2015,Bremer County,47.8,19017
2002,Bremer County,47.8,19017
2017,Bremer County,48.3,19017
2006,Bremer County,48.6,19017
2016,Bremer County,49.1,19017
2012,Bremer County,50.5,19017
2014,Buchanan County,43.5,19019
2008,Buchanan County,44.8,19019
2019,Buchanan County,45,19019
2013,Buchanan County,45.5,19019
2009,Buchanan County,45.7,19019
2018,Buchanan County,45.8,19019
2003,Buchanan County,46.7,19019
2020,Buchanan County,47.3,19019
2010,Buchanan County,47.4,19019
2000,Buchanan County,47.4,19019
2004,Buchanan County,47.5,19019
2011,Buchanan County,47.6,19019
2015,Buchanan County,47.7,19019
2007,Buchanan County,47.7,19019
2001,Buchanan County,48,19019
2017,Buchanan County,48.1,19019
2005,Buchanan County,48.2,19019
2002,Buchanan County,48.4,19019
2016,Buchanan County,48.9,19019
2006,Buchanan County,49,19019
2012,Buchanan County,51,19019
2008,Buena Vista County,44.2,19021
2014,Buena Vista County,44.5,19021
2013,Buena Vista County,45,19021
2019,Buena Vista County,45.1,19021
2009,Buena Vista County,45.3,19021
2018,Buena Vista County,45.8,19021
2010,Buena Vista County,46.5,19021
2011,Buena Vista County,46.6,19021
2003,Buena Vista County,46.6,19021
2000,Buena Vista County,46.9,19021
2004,Buena Vista County,47,19021
2007,Buena Vista County,47.4,19021
2002,Buena Vista County,47.4,19021
2001,Buena Vista County,47.6,19021
2020,Buena Vista County,48,19021
2015,Buena Vista County,48.3,19021
2005,Buena Vista County,48.4,19021
2017,Buena Vista County,48.7,19021
2006,Buena Vista County,49.3,19021
2016,Buena Vista County,49.5,19021
2012,Buena Vista County,50.5,19021
2014,Butler County,43.7,19023
2008,Butler County,44.5,19023
2013,Butler County,45.1,19023
2019,Butler County,45.4,19023
2009,Butler County,45.4,19023
2018,Butler County,46,19023
2003,Butler County,46.7,19023
2011,Butler County,47.1,19023
2010,Butler County,47.1,19023
2007,Butler County,47.2,19023
2004,Butler County,47.3,19023
2000,Butler County,47.4,19023
2001,Butler County,47.7,19023
2020,Butler County,47.9,19023
2015,Butler County,47.9,19023
2005,Butler County,48,19023
2002,Butler County,48.2,19023
2017,Butler County,48.5,19023
2006,Butler County,49,19023
2016,Butler County,49.1,19023
2012,Butler County,50.9,19023
2008,Calhoun County,45.1,19025
2014,Calhoun County,45.2,19025
2013,Calhoun County,46,19025
2009,Calhoun County,46,19025
2019,Calhoun County,46.1,19025
2018,Calhoun County,46.9,19025
2010,Calhoun County,47.2,19025
2003,Calhoun County,47.3,19025
2011,Calhoun County,47.5,19025
2004,Calhoun County,48,19025
2000,Calhoun County,48.1,19025
2007,Calhoun County,48.2,19025
2002,Calhoun County,48.3,19025
2001,Calhoun County,48.4,19025
2020,Calhoun County,48.9,19025
2015,Calhoun County,48.9,19025
2005,Calhoun County,49,19025
2017,Calhoun County,49.7,19025
2006,Calhoun County,49.8,19025
2016,Calhoun County,50.2,19025
2012,Calhoun County,51.6,19025
2014,Carroll County,45.6,19027
2008,Carroll County,45.7,19027
2009,Carroll County,46.2,19027
2013,Carroll County,46.3,19027
2019,Carroll County,46.9,19027
2018,Carroll County,47.3,19027
2010,Carroll County,47.4,19027
2011,Carroll County,47.6,19027
2003,Carroll County,47.7,19027
2004,Carroll County,48.2,19027
2007,Carroll County,48.7,19027
2000,Carroll County,48.7,19027
2002,Carroll County,48.8,19027
2001,Carroll County,48.8,19027
2015,Carroll County,49,19027
2005,Carroll County,49.4,19027
2020,Carroll County,49.5,19027
2017,Carroll County,50.1,19027
2006,Carroll County,50.2,19027
2016,Carroll County,50.5,19027
2012,Carroll County,51.7,19027
2014,Cass County,46.9,19029
2008,Cass County,47.3,19029
2009,Cass County,47.6,19029
2013,Cass County,47.7,19029
2019,Cass County,48.1,19029
2018,Cass County,48.6,19029
2010,Cass County,48.7,19029
2003,Cass County,49,19029
2011,Cass County,49.2,19029
2004,Cass County,49.4,19029
2007,Cass County,49.9,19029
2002,Cass County,50,19029
2001,Cass County,50,19029
2000,Cass County,50,19029
2020,Cass County,50.3,19029
2015,Cass County,50.3,19029
2005,Cass County,50.5,19029
2017,Cass County,51.4,19029
2006,Cass County,51.4,19029
2016,Cass County,51.9,19029
2012,Cass County,53,19029
2014,Cedar County,45.3,19031
2008,Cedar County,46.9,19031
2013,Cedar County,47.5,19031
2009,Cedar County,47.5,19031
2019,Cedar County,47.7,19031
2018,Cedar County,48.2,19031
