name,year,rate,code
ADAIR,2020,169.7,19001
ADAIR,2019,176.6,19001
ADAIR,2018,149.5,19001
ADAIR,2017,175.2,19001
ADAIR,2016,190.3,19001
ADAIR,2015,176.5,19001
ADAIR,2014,169.3,19001
ADAIR,2013,137.8,19001
ADAIR,2012,104.4,19001
ADAIR,2011,152.8,19001
ADAIR,2010,139.1,19001
ADAIR,2009,179.3,19001
ADAIR,2008,169,19001
ADAIR,2007,160.7,19001
ADAIR,2006,164.9,19001
ADAIR,2005,159,19001
ADAIR,2004,182.1,19001
ADAIR,2003,131.3,19001
ADAIR,2002,154.3,19001
ADAIR,2001,127.3,19001
ADAIR,2000,131.8,19001
ADAMS,2020,174.2,19003
ADAMS,2018,171.6,19003
ADAMS,2017,179.9,19003
ADAMS,2016,187.4,19003
ADAMS,2015,169.6,19003
ADAMS,2014,169.9,19003
ADAMS,2013,147.6,19003
ADAMS,2012,109.8,19003
ADAMS,2011,151.7,19003
ADAMS,2010,139.3,19003
ADAMS,2009,168.1,19003
ADAMS,2008,156,19003
ADAMS,2007,153.4,19003
ADAMS,2006,145.4,19003
ADAMS,2005,157.1,19003
ADAMS,2004,169.3,19003
ADAMS,2003,122.2,19003
ADAMS,2002,132.3,19003
ADAMS,2001,120.3,19003
ADAMS,2000,140,19003
ALLAMAKEE,2020,197.4,19005
ALLAMAKEE,2019,187.2,19005
ALLAMAKEE,2018,198.4,19005
ALLAMAKEE,2017,190.5,19005
ALLAMAKEE,2016,205.1,19005
ALLAMAKEE,2015,175.4,19005
ALLAMAKEE,2014,175.6,19005
ALLAMAKEE,2013,162.1,19005
ALLAMAKEE,2012,153.6,19005
ALLAMAKEE,2011,173.3,19005
ALLAMAKEE,2010,175.8,19005
ALLAMAKEE,2009,179.6,19005
ALLAMAKEE,2008,170,19005
ALLAMAKEE,2007,167.1,19005
ALLAMAKEE,2006,166.2,19005
ALLAMAKEE,2005,177.4,19005
ALLAMAKEE,2004,163.3,19005
ALLAMAKEE,2003,142.7,19005
ALLAMAKEE,2002,158.7,19005
ALLAMAKEE,2001,150.3,19005
