year,name,rate,code
2020,Adair County,23.56,19001
2020,Adams County,26.62,19003
2020,Allamakee County,34.88,19005
2020,Appanoose County,34.52,19007
2020,Audubon County,21.34,19009
2020,Benton County,34.48,19011
2020,Black Hawk County,35.62,19013
2020,Boone County,24.07,19015
2020,Bremer County,36.36,19017
2020,Buchanan County,36.74,19019
2020,Buena Vista County,22.54,19021
2020,Butler County,33.05,19023
2020,Calhoun County,22.84,19025
2020,Carroll County,21.67,19027
2020,Cass County,21.94,19029
2020,Cedar County,38.5,19031
2020,Cerro Gordo County,29.5,19033
2020,Cherokee County,22.92,19035
2020,Chickasaw County,35.74,19037
2020,Clarke County,30.26,19039
2020,Clay County,20.59,19041
2020,Clayton County,39.22,19043
2020,Clinton County,39.05,19045
2020,Crawford County,22.6,19047
2020,Dallas County,24.58,19049
2020,Davis County,34.95,19051
2020,Decatur County,32.16,19053
2020,Delaware County,38.03,19055
2020,Des Moines County,32.65,19057
2020,Dickinson County,21.56,19059
2020,Dubuque County,38.54,19061
2020,Emmet County,22.77,19063
2020,Fayette County,36.5,19065
2020,Floyd County,32.55,19067
2020,Franklin County,29.52,19069
2020,Fremont County,24.14,19071
2020,Greene County,23.18,19073
2020,Grundy County,33.85,19075
2020,Guthrie County,22.15,19077
2020,Hamilton County,25.49,19079
2020,Hancock County,27.78,19081
2020,Hardin County,29.07,19083
2020,Harrison County,21.46,19085
2020,Henry County,34.38,19087
2020,Howard County,32.67,19089
2020,Humboldt County,22.73,19091
2020,Ida County,22.77,19093
2020,Iowa County,32.44,19095
2020,Jackson County,38.43,19097
2020,Jasper County,30.77,19099
2020,Jefferson County,36.25,19101
2020,Johnson County,35.58,19103
2020,Jones County,36.85,19105
2020,Keokuk County,34.6,19107
2020,Kossuth County,25.16,19109
2020,Lee County,34.5,19111
2020,Linn County,36.5,19113
2020,Louisa County,35.23,19115
2020,Lucas County,33.16,19117
2020,Lyon County,18.59,19119
2020,Madison County,25.94,19121
2020,Mahaska County,34.13,19123
2020,Marion County,33.85,19125
2020,Marshall County,31.26,19127
2020,Mills County,22.84,19129
2020,Mitchell County,30.18,19131
2020,Monona County,21.66,19133
2020,Monroe County,35.27,19135
2020,Montgomery County,24.67,19137
2020,Muscatine County,35.47,19139
2020,O'Brien County,20.19,19141
2020,Osceola County,20.19,19143
2020,Page County,24.47,19145
2020,Palo Alto County,22.17,19147
2020,Plymouth County,18.93,19149
2020,Pocahontas County,22.49,19151
2020,Polk County,27.81,19153
2020,Pottawattamie County,21.53,19155
2020,Poweshiek County,32.84,19157
2020,Ringgold County,32.84,19159
2020,Sac County,21.55,19161
2020,Scott County,39.2,19163
2020,Shelby County,21.86,19165
2020,Sioux County,17.48,19167
2020,Story County,26.07,19169
2020,Tama County,34.65,19171
2020,Taylor County,29.21,19173
2020,Union County,28.46,19175
2020,Van Buren County,32.99,19177
2020,Wapello County,36.86,19179
2020,Warren County,31.66,19181
2020,Washington County,36.75,19183
2020,Wayne County,33.49,19185
2020,Webster County,24.18,19187
2020,Winnebago County,28.09,19189
2020,Winneshiek County,34.88,19191
2020,Woodbury County,21.48,19193
2020,Worth County,30.41,19195
2020,Wright County,26.29,19197
2019,Adair County,40.22,19001
2019,Adams County,41.67,19003
2019,Allamakee County,51.08,19005
2019,Appanoose County,51.31,19007
2019,Audubon County,39.26,19009
2019,Benton County,39.83,19011
2019,Black Hawk County,40.44,19013
2019,Boone County,39.55,19015
2019,Bremer County,41.52,19017
2019,Buchanan County,43.49,19019
2019,Buena Vista County,36.07,19021
2019,Butler County,38.41,19023
2019,Calhoun County,36.44,19025
2019,Carroll County,37.02,19027
2019,Cass County,41.22,19029
2019,Cedar County,44.73,19031
2019,Cerro Gordo County,39.42,19033
2019,Cherokee County,38.46,19035
2019,Chickasaw County,41.95,19037
2019,Clarke County,41.34,19039
2019,Clay County,39.33,19041
2019,Clayton County,49.45,19043
2019,Clinton County,48.97,19045
2019,Crawford County,36.06,19047
2019,Dallas County,36.04,19049
2019,Davis County,47.9,19051
2019,Decatur County,45.6,19053
2019,Delaware County,48.39,19055
2019,Des Moines County,48.23,19057
2019,Dickinson County,41.92,19059
2019,Dubuque County,50.19,19061
2019,Emmet County,41.24,19063
2019,Fayette County,41.82,19065
2019,Floyd County,40.83,19067
2019,Franklin County,39.98,19069
2019,Fremont County,40.87,19071
2019,Greene County,38.3,19073
2019,Grundy County,39.37,19075
2019,Guthrie County,35.85,19077
2019,Hamilton County,41.82,19079
2019,Hancock County,37.58,19081
2019,Hardin County,41.75,19083
2019,Harrison County,37.86,19085
2019,Henry County,47.11,19087
2019,Howard County,46.05,19089
2019,Humboldt County,35.52,19091
2019,Ida County,34.27,19093
2019,Iowa County,40.99,19095
2019,Jackson County,48.31,19097
2019,Jasper County,40.89,19099
2019,Jefferson County,42.9,19101
2019,Johnson County,44.05,19103
2019,Jones County,45.43,19105
2019,Keokuk County,40.51,19107
2019,Kossuth County,40,19109
2019,Lee County,50.09,19111
2019,Linn County,42.71,19113
2019,Louisa County,45.68,19115
2019,Lucas County,43,19117
2019,Lyon County,42.61,19119
2019,Madison County,37.36,19121
2019,Mahaska County,42.79,19123
2019,Marion County,42.09,19125
2019,Marshall County,40.08,19127
2019,Mills County,40.14,19129
2019,Mitchell County,45.38,19131
2019,Monona County,33.78,19133
2019,Monroe County,45.44,19135
2019,Montgomery County,40.17,19137
2019,Muscatine County,45.15,19139
2019,O'Brien County,39.83,19141
2019,Osceola County,42.64,19143
2019,Page County,40.68,19145
2019,Palo Alto County,38.68,19147
2019,Plymouth County,38.46,19149
2019,Pocahontas County,35.67,19151
2019,Polk County,40.48,19153
2019,Pottawattamie County,39.11,19155
2019,Poweshiek County,43.38,19157
2019,Ringgold County,44.68,19159
2019,Sac County,35.51,19161
2019,Scott County,47.82,19163
2019,Shelby County,38.87,19165
2019,Sioux County,40.47,19167
2019,Story County,38.49,19169
2019,Tama County,39.96,19171
2019,Taylor County,43.11,19173
2019,Union County,42.37,19175
2019,Van Buren County,47.51,19177
2019,Wapello County,42.91,19179
2019,Warren County,42.45,19181
2019,Washington County,41.05,19183
2019,Wayne County,47.64,19185
2019,Webster County,38.68,19187
2019,Winnebago County,41.85,19189
2019,Winneshiek County,47.64,19191
2019,Woodbury County,34.27,19193
2019,Worth County,43.37,19195
2019,Wright County,39.01,19197
2018,Adair County,40.37,19001
2018,Adams County,41.16,19003
2018,Allamakee County,55.17,19005
2018,Appanoose County,35.86,19007
2018,Audubon County,42.4,19009
2018,Benton County,45.53,19011
2018,Black Hawk County,55.24,19013
